form	lemma	POS	morph
præsto	praesto2	ADV	Deg=Pos
etiam	etiam	ADV	Deg=Pos
adsum	assum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
!	!	PUNC	MORPH=empty
Exprome	expromo	VER	Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
quid	quis1	PROint	Case=Acc|Numb=Sing|Gend=Neut
fers	fero	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
";"	";"	PUNC	MORPH=empty
nam	nam	CONcoo	MORPH=empty
te	tu	PROper	Case=Acc|Numb=Sing
longo	longus	ADJqua	Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
†	†	PUNC	MORPH=empty
vadere	uado2	VER	Mood=Inf|Tense=Pres|Voice=Act
†	†	PUNC	MORPH=empty
itere	iter	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=2
cerno	cerno	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
†	†	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
coniugium	coniugium	NOMcom	Case=Acc|Numb=Sing
Pisis	Pisae	NOMpro	Case=Abl|Numb=Plur
petere	peto	VER	Mood=Inf|Tense=Pres|Voice=Act
,	,	PUNC	MORPH=empty
ad	ad2	PRE	MORPH=empty
te	tu	PROper	Case=Acc|Numb=Sing
itiner	iter	NOMcom	Case=Voc|Numb=Sing
tendere	tendo	VER	Mood=Inf|Tense=Pres|Voice=Act
quemcumque	quicumque1	PROrel	Case=Acc|Numb=Sing|Gend=Masc
institeram	insto	VER	Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=1
grummum	grummus	NOMcom	Case=Acc|Numb=Sing
aut	aut	CONcoo	MORPH=empty
præcisum	praecido2	VER	Case=Acc|Numb=Sing|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass
iugum	iugum	NOMcom	Case=Acc|Numb=Sing
