form	lemma	POS	morph
—	—	PUNC	MORPH=empty
Amphio	amphio	NOMpro	Case=Nom|Numb=Sing|Gend=MascNeut|Deg=Pos
—	—	PUNC	MORPH=empty
Quadrupes	quadrupes1	NOMcom	Case=Nom|Numb=Sing
tardigrada	tardigradus	ADJqua	Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos
agrestis	agrestis2	ADJqua	Case=Nom|Numb=Sing|Gend=MascFem|Deg=Pos
humilis	humilis	ADJqua	Case=Nom|Numb=Sing|Gend=MascFem|Deg=Pos
aspera	asper	ADJqua	Case=Abl|Numb=Sing|Gend=Fem|Deg=Pos
,	,	PUNC	MORPH=empty
capite	caput	NOMcom	Case=Abl|Numb=Sing
brevi	breuis	ADJqua	Case=Abl|Numb=Sing|Gend=Com|Deg=Pos
,	,	PUNC	MORPH=empty
cervice	ceruix	NOMcom	Case=Abl|Numb=Sing
anguina	anguinus	NOMcom	Case=Nom|Numb=Plur
,	,	PUNC	MORPH=empty
aspectu	aspectus	NOMcom	Case=Abl|Numb=Sing
truci	trux	ADJqua	Case=Abl|Numb=Sing|Gend=Com|Deg=Pos
,	,	PUNC	MORPH=empty
eviscerata	euiscero	VER	Case=Nom|Numb=Sing|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass
inanima	inanimus	ADJqua	Case=Acc|Numb=Sing|Gend=Neut|Deg=Pos
cum	cum2	PRE	MORPH=empty
animali	animal	NOMcom	Case=Abl|Numb=Sing
sono	sonus	NOMcom	Case=Abl|Numb=Sing
.	.	PUNC	MORPH=empty
—	—	PUNC	MORPH=empty
Chorus	chorus	NOMcom	Case=Nom|Numb=Sing
—	—	PUNC	MORPH=empty
Non	non	ADVneg	MORPH=empty
intellegimus	intelligo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1
,	,	PUNC	MORPH=empty
nisi	nisi	CONsub	MORPH=empty
si	si2	CONsub	MORPH=empty
aperte	aperte	ADV	Deg=Pos
dixeris	dico2	VER	Numb=Sing|Mood=Ind|Tense=FutAnt|Voice=Act|Person=2
:	:	PUNC	MORPH=empty
ita	ita	ADV	Deg=Pos
sæptuose	saeptuose	ADV	Deg=Pos
dictio	dictio	NOMcom	Case=Nom|Numb=Sing
abs	ab	PRE	MORPH=empty
te	tu	PROper	Case=Abl|Numb=Sing
datur	do	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
,	,	PUNC	MORPH=empty
quod	quod2	CONsub	Numb=Sing
coniectura	coniectura	NOMcom	Case=Nom|Numb=Sing
sapiens	sapiens1	NOMcom	Case=Nom|Numb=Sing
ægre	aegre	ADV	Deg=Pos
contuit	contuo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
;	;	PUNC	MORPH=empty
—	—	PUNC	MORPH=empty
Amphio	amphio	NOMpro	Case=Nom|Numb=Sing|Gend=MascNeut|Deg=Pos
—	—	PUNC	MORPH=empty
testudo	testudo	NOMcom	Case=Nom|Numb=Sing
odi	odi	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
ego	ego	PROper	Case=Nom|Numb=Sing
homines	homo	NOMcom	Case=Nom|Numb=Plur
ignava	ignauus2	ADJqua	Case=Acc|Numb=Plur|Gend=Fem|Deg=Pos
opera	opus1	NOMcom	Case=Acc|Numb=Plur
et	et2	CONcoo	MORPH=empty
philosopha	philosophus1	NOMcom	Case=Acc|Numb=Plur
sententia	sententia	NOMcom	Case=Nom|Numb=Sing
loca	locus	NOMcom	Case=Acc|Numb=Plur
