""	"Accius"	"Ennius"	"Livius"	"Naevius"	"Pacuvius"
"uultus"	2	0	0	0	1
"uulnus"	2	1	0	0	0
"uulgus"	2	0	0	0	1
"utor"	3	1	0	0	1
"utiquam"	0	1	0	0	0
"utinam"	1	3	0	0	1
"uter3"	0	0	0	0	2
"ut4"	22	7	0	2	17
"ut1"	9	1	1	3	7
"usurpo"	0	1	0	0	0
"usura"	1	0	0	0	0
"usque"	1	0	0	0	0
"usquam"	0	0	0	0	1
"uruo"	0	1	0	0	0
"urbs"	4	1	0	0	0
"uox"	3	0	0	0	1
"uos"	3	2	2	2	4
"uorsabilis"	1	0	0	0	0
"uoluptas"	0	0	0	0	1
"uoluo"	3	0	0	0	1
"uolucris"	0	0	0	1	0
"uolucer"	0	0	0	0	1
"uolo?"	0	1	0	0	0
"uolo3"	6	1	0	0	3
"uolo2"	0	2	0	0	0
"uolo"	0	0	0	1	0
"uolatilis"	1	0	0	0	0
"uoco"	0	2	0	0	0
"unus"	1	0	0	0	1
"unicus"	2	0	0	0	0
"ungulus"	0	0	0	0	1
"unguleus"	0	0	0	0	1
"ungula"	1	0	0	0	0
"undo"	1	1	0	0	0
"undique"	0	0	0	0	1
"unde2"	3	2	0	0	1
"unde1"	1	1	0	0	2
"unda"	6	0	0	0	1
"unanimitas"	0	0	0	0	1
"umquam"	3	1	0	0	1
"ultro"	2	1	0	0	0
"ultor"	1	0	0	0	0
"ullus"	4	1	0	0	1
"ulciscor"	0	0	0	0	3
"uiuo"	0	2	0	0	0
"uitium"	1	0	0	0	0
"uitisator"	1	0	0	0	0
"uitalis"	0	1	0	0	0
"uita"	5	6	0	0	3
"uiscus1"	1	0	0	0	0
"uisceratim"	0	1	0	0	0
"uis"	9	3	0	0	5
"uirtus"	3	3	0	0	2
"uirilis"	1	0	0	0	1
"uirido"	1	0	0	0	0
"uirgo"	1	1	0	1	0
"uir"	7	2	0	0	3
"uiperinus"	1	0	0	0	0
"uinco"	6	0	0	0	0
"uigilo"	1	0	0	0	0
